Rotation,Type,Date_Time
+,Session start,2021-03-03 09:09:07.608081
*,BB2,2021-03-03 09:09:23.792576
*,BB3,2021-03-03 09:09:31.898926
*,BB2,2021-03-03 09:09:44.766743
0.5475,Run,2021-03-03 09:09:44.790421
*,BB3,2021-03-03 09:09:54.362558
*,BB2,2021-03-03 09:10:06.040306
0.6325,Run,2021-03-03 09:10:06.063625
*,BB3,2021-03-03 09:10:27.447465
*,BB2,2021-03-03 09:10:40.683856
0.55,Run,2021-03-03 09:10:40.718034
*,BB3,2021-03-03 09:10:52.277717
*,BB2,2021-03-03 09:11:13.652326
0.6667,Run,2021-03-03 09:11:13.675978
*,BB5,2021-03-03 09:11:21.306500
-,END,2021-03-03 09:11:36.347599
+,Session start,2021-03-03 09:11:38.813055
*,BB2,2021-03-03 09:11:57.638399
*,BB3,2021-03-03 09:12:11.036046
*,BB2,2021-03-03 09:12:22.082795
0.4792,Run,2021-03-03 09:12:22.118262
*,BB5,2021-03-03 09:12:28.702682
-,END,2021-03-03 09:12:43.751018
+,Session start,2021-03-03 09:12:53.057475
*,BB2,2021-03-03 09:13:09.034176
*,BB5,2021-03-03 09:13:33.491708
-,END,2021-03-03 09:13:48.526543
+,Session start,2021-03-03 09:13:51.798767
*,BB2,2021-03-03 09:14:07.479110
*,BB3,2021-03-03 09:14:12.827195
*,BB2,2021-03-03 09:14:56.304569
0.6508,Run,2021-03-03 09:14:56.336554
*,BB5,2021-03-03 09:15:07.217320
-,END,2021-03-03 09:15:22.253401
+,Session start,2021-03-03 09:15:24.216046
*,BB2,2021-03-03 09:15:45.688944
*,BB3,2021-03-03 09:15:49.828019
*,BB2,2021-03-03 09:15:59.503188
4.5942,Run,2021-03-03 09:15:59.526439
*,BB5,2021-03-03 09:16:21.663436
-,END,2021-03-03 09:16:36.693325
+,Session start,2021-03-03 09:16:39.456633
*,BB2,2021-03-03 09:16:55.514338
*,BB3,2021-03-03 09:17:05.004900
*,BB2,2021-03-03 09:17:45.987478
0.495,Run,2021-03-03 09:17:46.015312
*,BB5,2021-03-03 09:18:22.057642
-,END,2021-03-03 09:18:37.094070
+,Session start,2021-03-03 09:18:38.753522
*,BB2,2021-03-03 09:19:03.155990
*,BB3,2021-03-03 09:19:12.075317
*,BB2,2021-03-03 09:19:57.279813
0.6358,Run,2021-03-03 09:19:57.306207
*,BB5,2021-03-03 09:20:18.386196
-,END,2021-03-03 09:20:33.418735
+,Session start,2021-03-03 09:20:41.323167
*,BB2,2021-03-03 09:23:46.196660
*,BB3,2021-03-03 09:23:46.697050
*,BB2,2021-03-03 09:26:51.436782
0.705,Run,2021-03-03 09:26:51.459263
*,BB5,2021-03-03 09:27:03.484603
-,END,2021-03-03 09:27:18.521392
+,Session start,2021-03-03 09:27:20.191299
*,BB2,2021-03-03 09:27:36.185019
*,BB3,2021-03-03 09:27:37.889567
*,BB2,2021-03-03 09:27:41.247190
0.57,Run,2021-03-03 09:27:41.272902
*,BB5,2021-03-03 09:28:03.043124
-,END,2021-03-03 09:28:18.086600
+,Session start,2021-03-03 09:28:20.437162
*,BB2,2021-03-03 09:28:48.678081
*,BB3,2021-03-03 09:29:34.670516
*,BB2,2021-03-03 09:29:57.775414
0.53,Run,2021-03-03 09:29:57.801635
*,BB5,2021-03-03 09:30:23.152296
-,END,2021-03-03 09:30:38.194579
+,Session start,2021-03-03 09:30:40.458013
*,BB2,2021-03-03 09:31:02.075644
*,BB3,2021-03-03 09:31:03.337351
*,BB2,2021-03-03 09:31:20.770434
0.5425,Run,2021-03-03 09:31:20.802490
*,BB5,2021-03-03 09:31:39.597038
-,END,2021-03-03 09:31:54.628784
+,Session start,2021-03-03 09:31:56.371381
*,BB2,2021-03-03 09:35:25.093776
*,BB3,2021-03-03 09:35:25.558050
*,BB2,2021-03-03 09:35:54.817954
0.5242,Run,2021-03-03 09:35:54.845426
*,BB5,2021-03-03 09:35:57.164094
-,END,2021-03-03 09:36:12.201746
