Date_Time,Rotation,Pellet_Retrieval,Type,Wheel_Position,FED_Position
2021-03-03 12:22:36.434650,+,,Session start,Left,Right
2021-03-03 12:22:52.870426,*,,BB2,Left,Right
2021-03-03 12:22:52.970537,*,,BB4,Left,Right
2021-03-03 12:22:53.739522,*,,BB2,Left,Right
2021-03-03 12:22:53.769538,0,,Food_log,Left,Right
2021-03-03 12:22:54.328266,*,,BB4,Left,Right
2021-03-03 12:22:54.926657,*,,BB2,Left,Right
2021-03-03 12:22:54.956348,0,,Food_log,Left,Right
2021-03-03 12:22:55.516515,*,,BB4,Left,Right
2021-03-03 12:22:59.824019,*,,BB2,Left,Right
2021-03-03 12:22:59.846433,0.5517,,Food_log,Left,Right
2021-03-03 12:23:00.416231,*,,BB4,Left,Right
2021-03-03 12:23:02.938941,*,,BB5,Left,Right
2021-03-03 12:23:17.977467,-,,END,Left,Right
2021-03-03 12:23:43.567135,+,,Session start,Left,Right
2021-03-03 12:24:05.494921,*,,BB2,Left,Right
2021-03-03 12:24:05.524114,0.6817,,Food_log,Left,Right
2021-03-03 12:24:06.184121,*,,BB4,Left,Right
2021-03-03 12:24:08.175622,*,,BB2,Left,Right
2021-03-03 12:24:08.208403,0.1058,,Food_log,Left,Right
2021-03-03 12:24:08.764364,*,,BB4,Left,Right
2021-03-03 12:24:17.202625,*,,BB2,Left,Right
2021-03-03 12:24:17.226926,0,,Food_log,Left,Right
2021-03-03 12:24:17.791284,*,,BB4,Left,Right
2021-03-03 12:24:18.389709,*,,BB2,Left,Right
2021-03-03 12:24:18.417111,0,,Food_log,Left,Right
2021-03-03 12:24:18.980675,*,,BB4,Left,Right
2021-03-03 12:24:19.578986,*,,BB2,Left,Right
2021-03-03 12:24:19.601890,0,,Food_log,Left,Right
2021-03-03 12:24:20.167781,*,,BB4,Left,Right
2021-03-03 12:24:20.766194,*,,BB2,Left,Right
2021-03-03 12:24:20.790670,0.1092,,Food_log,Left,Right
2021-03-03 12:24:21.359430,*,,BB4,Left,Right
2021-03-03 12:24:21.957729,*,,BB2,Left,Right
2021-03-03 12:24:21.983310,0.0792,,Food_log,Left,Right
2021-03-03 12:24:22.546462,*,,BB4,Left,Right
2021-03-05 14:17:19.809011,+,,START,Left,Right
2021-03-05 14:19:15.658781,+,,Session start,Left,Right
2021-03-05 14:20:07.184120,*,,BB2,Left,Right
2021-03-05 14:20:16.466397,*,,BB3,Left,Right
2021-03-05 14:20:38.985608,0.5433,,Run_log,Left,Right
2021-03-05 14:20:43.583781,*,,BB3,Left,Right
2021-03-05 14:21:16.504908,3.36,,Run_log,Left,Right
2021-03-05 14:21:30.200545,*,,BB4,Left,Right
2021-03-05 14:22:16.482743,0.595,,Food_log,Left,Right
2021-03-05 14:22:28.559728,*,,BB3,Left,Right
2021-03-05 14:23:48.415861,3.9817,,Run_log,Left,Right
2021-03-05 14:24:10.431029,*,,BB4,Left,Right
2021-03-05 14:24:50.494040,0.5375,,Food_log,Left,Right
2021-03-05 14:24:51.935157,*,,BB3,Left,Right
2021-03-05 14:27:29.676355,5.2725,,Run_log,Left,Right
2021-03-05 14:27:46.364016,*,,BB4,Left,Right
2021-03-05 14:27:51.686716,0.43,,Food_log,Left,Right
2021-03-05 14:27:56.956844,*,,BB4,Left,Right
2021-03-05 14:28:25.993064,0.5908,,Food_log,Left,Right
2021-03-05 14:28:33.218603,*,,BB3,Left,Right
2021-03-05 14:30:30.154439,1.4317,,Run_log,Left,Right
2021-03-05 14:30:40.351958,*,,BB4,Left,Right
2021-03-05 14:31:26.686489,0.5558,,Food_log,Left,Right
2021-03-05 14:31:29.516609,*,,BB3,Left,Right
2021-03-05 14:33:34.283396,2.28,,Run_log,Left,Right
2021-03-05 14:34:13.487630,*,,BB3,Left,Right
2021-03-05 14:34:51.588725,0.5183,,Run_log,Left,Right
2021-03-05 14:35:27.050673,*,,BB3,Left,Right
2021-03-05 14:35:36.467774,0.465,,Run_log,Left,Right
2021-03-05 14:35:52.544108,*,,BB4,Left,Right
2021-03-05 14:37:31.983960,0.4842,,Food_log,Left,Right
2021-03-05 14:37:35.334269,*,,BB3,Left,Right
2021-03-05 14:37:52.232128,0.4742,,Run_log,Left,Right
2021-03-05 14:38:00.527983,*,,BB3,Left,Right
2021-03-05 14:38:31.864684,0.575,,Run_log,Left,Right
2021-03-05 14:38:48.269178,*,,BB3,Left,Right
2021-03-05 14:40:41.503633,0.7158,,Run_log,Left,Right
2021-03-05 14:40:47.575183,*,,BB3,Left,Right
2021-03-05 14:43:11.897954,6.2358,,Run_log,Left,Right
2021-03-05 14:43:17.727851,*,,BB4,Left,Right
2021-03-05 14:44:33.306330,0.5583,,Food_log,Left,Right
2021-03-05 14:44:41.916936,*,,BB3,Left,Right
2021-03-05 14:45:39.189067,0.7908,,Run_log,Left,Right
2021-03-05 14:46:20.806427,*,,BB4,Left,Right
2021-03-05 14:46:26.330619,0.5117,,Food_log,Left,Right
2021-03-05 14:46:36.006180,*,,BB3,Left,Right
2021-03-05 14:46:44.947714,2.6117,,Run_log,Left,Right
2021-03-05 14:46:51.276333,*,,BB3,Left,Right
2021-03-05 14:47:42.964870,0.7533,,Run_log,Left,Right
2021-03-05 14:47:57.154297,*,,BB4,Left,Right
2021-03-05 14:48:34.246922,0.5692,,Food_log,Left,Right
2021-03-05 14:48:38.264227,*,,BB3,Left,Right
2021-03-05 14:51:01.796471,1.0083,,Run_log,Left,Right
2021-03-05 14:51:13.934383,*,,BB4,Left,Right
2021-03-05 14:51:53.719262,0.5042,,Food_log,Left,Right
2021-03-05 14:52:07.028643,*,,BB3,Left,Right
2021-03-05 14:52:57.773174,0.7267,,Run_log,Left,Right
2021-03-05 14:53:07.057219,*,,BB3,Left,Right
2021-03-05 14:53:27.754385,0.8983,,Run_log,Left,Right
2021-03-05 14:53:37.787701,*,,BB3,Left,Right
2021-03-05 14:54:23.618865,0.6583,,Run_log,Left,Right
2021-03-05 14:55:40.223963,*,,BB3,Left,Right
2021-03-05 14:55:56.736296,0.3792,,Run_log,Left,Right
2021-03-05 14:56:18.485932,*,,BB4,Left,Right
2021-03-05 14:56:38.335435,0.4675,,Food_log,Left,Right
2021-03-05 14:56:43.172316,*,,BB3,Left,Right
2021-03-05 14:56:44.587926,0.3983,,Run_log,Left,Right
2021-03-05 14:57:01.721223,*,,BB3,Left,Right
2021-03-05 15:01:41.648402,0.8108,,Run_log,Left,Right
2021-03-05 15:01:51.596736,*,,BB3,Left,Right
2021-03-05 15:02:06.661002,0.4533,,Run_log,Left,Right
2021-03-05 15:02:14.148342,*,,BB3,Left,Right
2021-03-05 15:02:25.547230,1.4058,,Run_log,Left,Right
2021-03-05 15:02:38.498324,*,,BB4,Left,Right
2021-03-05 15:03:07.017390,0.5942,,Food_log,Left,Right
2021-03-05 15:04:09.308436,*,,BB4,Left,Right
2021-03-05 15:04:11.559800,0.4625,,Food_log,Left,Right
2021-03-05 15:04:21.648823,*,,BB3,Left,Right
2021-03-05 15:04:25.123904,0.4825,,Run_log,Left,Right
2021-03-05 15:04:39.765144,*,,BB3,Left,Right
2021-03-05 15:06:17.218298,0.9108,,Run_log,Left,Right
2021-03-05 15:06:41.625997,*,,BB4,Left,Right
2021-03-05 15:06:45.781814,0.4108,,Food_log,Left,Right
2021-03-05 15:06:49.736961,*,,BB3,Left,Right
2021-03-05 15:07:07.313550,0.5983,,Run_log,Left,Right
2021-03-05 15:07:11.247319,*,,BB3,Left,Right
2021-03-05 15:07:24.367534,0.425,,Run_log,Left,Right
2021-03-05 15:07:26.570739,*,,BB4,Left,Right
2021-03-05 15:07:39.820434,0.5408,,Food_log,Left,Right
2021-03-05 15:08:06.783467,*,,BB4,Left,Right
2021-03-05 15:08:27.819164,0.5417,,Food_log,Left,Right
2021-03-05 15:08:36.246963,*,,BB3,Left,Right
2021-03-05 15:08:43.866201,0.5017,,Run_log,Left,Right
2021-03-05 15:08:49.201424,*,,BB4,Left,Right
2021-03-05 15:12:41.585236,0.5742,,Food_log,Left,Right
2021-03-05 15:12:44.185047,*,,BB3,Left,Right
2021-03-05 15:13:27.159798,0.5358,,Run_log,Left,Right
2021-03-05 15:13:45.458001,*,,BB3,Left,Right
2021-03-05 15:13:54.645598,0.5167,,Run_log,Left,Right
2021-03-05 15:13:57.230770,*,,BB4,Left,Right
