Rotation,Type,Date_Time
+,START,2021-03-03 17:22:53.158278
+,Session start,2021-03-03 17:22:59.390159
*,BB2,2021-03-03 17:23:25.205509
*,BB4,2021-03-03 17:23:29.822790
0.595,Food_log,2021-03-03 17:23:32.688718
*,BB3,2021-03-03 17:23:36.661761
0.4458,Run_log,2021-03-03 17:23:38.508945
*,BB5,2021-03-03 17:23:43.063752
-,END,2021-03-03 17:23:58.098977
+,START,2021-03-03 17:24:10.124075
+,Session start,2021-03-03 17:24:20.479987
*,BB2,2021-03-03 17:24:36.429778
*,BB5,2021-03-03 17:24:41.318329
-,END,2021-03-03 17:24:56.348017
+,START,2021-03-03 17:26:51.030868
+,Session start,2021-03-03 17:26:54.548377
*,BB2,2021-03-03 17:28:51.662766
*,BB5,2021-03-03 17:28:54.736892
-,END,2021-03-03 17:29:09.768615
+,START,2021-03-03 17:29:16.929599
+,Session start,2021-03-03 17:29:18.938764
*,BB2,2021-03-03 17:29:34.009928
*,BB5,2021-03-03 17:29:37.788111
-,END,2021-03-03 17:29:52.821552
+,START,2021-03-03 17:56:17.171525
+,Session start,2021-03-03 17:56:29.611824
*,BB2,2021-03-03 17:56:44.277763
*,BB5,2021-03-03 17:56:47.879485
-,END,2021-03-03 17:57:02.912908
+,START,2021-03-03 17:59:14.938859
+,START,2021-03-03 17:59:38.571316
