Rotation,Type,Date_Time
+,Session start,2021-03-01 12:07:20.637723
*,BB2,2021-03-01 12:07:38.659856
*,BB5,2021-03-01 12:07:40.349093
*,BB2,2021-03-01 12:08:40.112642
0.6425,Run,2021-03-01 12:08:40.139772
*,BB5,2021-03-01 12:09:14.863318
-,END,2021-03-01 12:09:29.903084
+,Session start,2021-03-01 12:09:33.880770
*,BB2,2021-03-01 12:09:48.891461
*,BB5,2021-03-01 12:09:51.577387
*,BB2,2021-03-01 12:10:55.873330
1.7067,Run,2021-03-01 12:10:55.896844
*,BB4,2021-03-01 12:11:12.701529
*,BB2,2021-03-01 12:13:39.531926
0.6042,Food,2021-03-01 12:13:39.554792
*,BB5,2021-03-01 12:13:54.335958
-,END,2021-03-01 12:14:09.385458
+,Session start,2021-03-01 12:14:12.362784
*,BB2,2021-03-01 12:14:27.476207
*,BB5,2021-03-01 12:14:29.044654
*,BB2,2021-03-01 12:15:57.267756
0.5742,Run,2021-03-01 12:15:57.293728
*,BB5,2021-03-01 12:16:08.911866
-,END,2021-03-01 12:16:23.948753
+,Session start,2021-03-01 12:16:33.040905
*,BB2,2021-03-01 12:16:48.675717
*,BB5,2021-03-01 12:16:49.666595
*,BB2,2021-03-01 12:17:11.797129
0.5858,Run,2021-03-01 12:17:11.819183
*,BB5,2021-03-01 12:17:24.475924
*,BB2,2021-03-01 12:18:38.066470
0.6742,Run,2021-03-01 12:18:38.088961
*,BB5,2021-03-01 12:19:41.519263
-,END,2021-03-01 12:19:56.545561
+,Session start,2021-03-01 12:19:59.105032
*,BB2,2021-03-01 12:20:18.194483
*,BB5,2021-03-01 12:20:19.255315
*,BB2,2021-03-01 12:20:25.804532
0.5025,Run,2021-03-01 12:20:25.826087
*,BB5,2021-03-01 12:20:39.718193
*,BB2,2021-03-01 12:20:44.846257
0.5442,Run,2021-03-01 12:20:44.868260
*,BB4,2021-03-01 12:21:05.163641
*,BB2,2021-03-01 12:23:46.598820
0.5783,Food,2021-03-01 12:23:46.623163
*,BB5,2021-03-01 12:24:07.093441
-,END,2021-03-01 12:24:22.123553
+,Session start,2021-03-01 12:24:40.583913
*,BB2,2021-03-01 12:25:01.856930
*,BB5,2021-03-01 12:25:04.961197
*,BB2,2021-03-01 12:25:34.769373
0.57,Run,2021-03-01 12:25:34.791708
*,BB5,2021-03-01 12:26:01.231304
*,BB2,2021-03-01 12:26:19.915933
0.4533,Run,2021-03-01 12:26:19.938957
*,BB5,2021-03-01 12:27:07.947234
-,END,2021-03-01 12:27:22.973097
+,Session start,2021-03-01 12:27:23.426992
*,BB2,2021-03-01 12:27:42.055410
*,BB4,2021-03-01 12:27:45.047754
*,BB2,2021-03-01 12:28:59.298513
0.6492,Food,2021-03-01 12:28:59.322984
*,BB5,2021-03-01 12:29:13.917925
*,BB2,2021-03-01 12:30:30.893808
0.57,Run,2021-03-01 12:30:30.916295
*,BB5,2021-03-01 12:30:46.970406
-,END,2021-03-01 12:31:01.993380
+,Session start,2021-03-01 12:31:15.815759
*,BB2,2021-03-01 12:31:33.122881
*,BB5,2021-03-01 12:31:34.754128
*,BB2,2021-03-01 12:31:43.773269
0.5467,Run,2021-03-01 12:31:43.797832
*,BB4,2021-03-01 12:33:03.373823
*,BB2,2021-03-01 12:35:12.861010
0.5075,Food,2021-03-01 12:35:12.882714
*,BB5,2021-03-01 12:35:33.349422
-,END,2021-03-01 12:35:48.390055
+,Session start,2021-03-01 12:35:49.430831
*,BB2,2021-03-01 12:36:08.026316
*,BB4,2021-03-01 12:36:18.655055
*,BB2,2021-03-01 12:36:42.242095
0.62,Food,2021-03-01 12:36:42.274629
*,BB5,2021-03-01 12:37:01.249437
*,BB2,2021-03-01 12:37:20.910267
0.655,Run,2021-03-01 12:37:20.932208
*,BB5,2021-03-01 12:38:58.788673
-,END,2021-03-01 12:39:13.824806
+,Session start,2021-03-01 12:39:14.270101
*,BB2,2021-03-01 12:39:40.907079
*,BB5,2021-03-01 12:39:42.180866
*,BB2,2021-03-01 12:39:48.096496
0.575,Run,2021-03-01 12:39:48.118669
*,BB5,2021-03-01 12:40:14.842454
-,END,2021-03-01 12:40:29.879789
+,Session start,2021-03-01 12:40:48.625081
*,BB2,2021-03-01 12:41:39.221394
*,BB5,2021-03-01 12:41:40.378181
*,BB2,2021-03-01 12:41:45.390482
0.4383,Run,2021-03-01 12:41:45.413030
*,BB5,2021-03-01 12:42:03.444143
-,END,2021-03-01 12:42:18.480715
+,Session start,2021-03-01 12:42:37.748182
*,BB2,2021-03-01 12:42:58.112400
*,BB5,2021-03-01 12:43:03.053601
*,BB2,2021-03-01 12:44:05.001341
