Weight_Mean,Weight_Median,Weight_Mode,Date_Time
19.007,19.2,19.3,2021-03-03 09:38:17.609944
18.416,19.05,19.5,2021-03-03 09:39:43.892286
19.136,19.2,19.2,2021-03-03 09:41:58.601710
19.147,19.2,NO MODE,2021-03-03 09:44:55.058962
15.533,16.1,NO MODE,2021-03-03 09:45:40.995864
11.782,16.1,17.9,2021-03-03 09:47:39.128972
18.867,19.15,19.2,2021-03-03 09:50:46.128073
3.714,0.0,0.0,2021-03-03 09:54:18.269830
17.638,18.45,NO MODE,2021-03-03 09:55:36.881379
2.755,0.0,-0.0,2021-03-03 09:58:59.618781
19.092,19.2,19.5,2021-03-03 10:01:31.359091
14.525,17.9,NO MODE,2021-03-03 10:04:11.418331
17.674,18.65,19.1,2021-03-03 10:06:01.749871
18.878,19.15,19.3,2021-03-03 10:07:26.150029
19.391000000000002,19.1,NO MODE,2021-03-03 10:08:41.618677
18.998,19.05,19.2,2021-03-03 10:12:07.424526
19.684,19.2,19.2,2021-03-03 10:14:51.513557
18.918,19.0,19.0,2021-03-03 10:17:28.305921
19.139,19.1,19.2,2021-03-03 10:22:32.983126
18.647,18.8,19.2,2021-03-03 10:25:45.470809
17.973,18.6,NO MODE,2021-03-03 10:27:58.302786
18.728,18.75,18.6,2021-03-03 10:29:28.667591
18.64,18.9,19.6,2021-03-03 10:31:30.601256
19.379,19.0,18.8,2021-03-03 10:33:19.796460
18.794999999999998,19.0,19.0,2021-03-03 10:34:24.402124
18.43,18.8,19.6,2021-03-03 10:37:24.891851
18.152,18.05,17.2,2021-03-03 10:41:03.245688
18.252,18.7,19.0,2021-03-03 10:42:21.469135
17.602,17.85,19.5,2021-03-03 10:43:40.348552
18.154,18.4,18.4,2021-03-03 10:47:29.138728
18.163,18.6,19.0,2021-03-03 10:50:49.709353
5.79,0.0,0.0,2021-03-03 10:53:00.610223
17.88,18.15,NO MODE,2021-03-03 10:56:41.516213
18.262,18.5,18.4,2021-03-03 10:59:58.392288
18.356,18.5,18.8,2021-03-03 11:04:09.141850
14.033,17.5,18.5,2021-03-03 11:10:08.079888
17.314,17.3,17.5,2021-03-03 11:14:26.125452
18.409,18.8,19.0,2021-03-03 11:16:39.324227
21.356,19.0,19.0,2021-03-03 11:20:29.038876
0.0,0.0,0.0,2021-03-03 11:37:06.407376
0.0,0.0,0.0,2021-03-03 11:37:46.475122
18.127,18.4,NO MODE,2021-03-03 12:30:31.538428
17.86,18.15,18.6,2021-03-03 12:34:22.265885
17.989,18.4,18.7,2021-03-03 12:38:39.182505
18.226,18.4,18.4,2021-03-03 15:14:31.402109
18.27,18.35,18.5,2021-03-03 15:24:00.321382
17.84,18.25,18.3,2021-03-03 15:43:32.380614
18.04,18.2,18.4,2021-03-03 15:54:26.334874
11.625,15.95,0.0,2021-03-03 16:14:30.713293
3.781,0.0,0.0,2021-03-03 16:17:56.548183
5.08,0.0,0.0,2021-03-03 16:20:54.890169
7.158,0.35,0.0,2021-03-03 16:24:36.375759
0.043000000000000003,0.0,0.0,2021-03-03 16:27:48.642681
4.749,0.0,0.0,2021-03-03 16:32:03.429628
0.0,0.0,0.0,2021-03-03 16:38:03.610226
0.039,0.0,0.0,2021-03-03 16:39:17.943197
0.021,0.0,0.0,2021-03-03 16:49:37.254851
0.119,0.0,0.0,2021-03-03 17:00:50.124289
3.323,0.0,0.0,2021-03-03 17:04:43.031510
16.68,17.25,17.2,2021-03-04 17:13:48.232107
17.748,18.0,18.1,2021-03-04 17:24:45.926192
17.166,17.85,18.2,2021-03-04 17:54:25.584185
17.51,18.1,18.1,2021-03-04 17:57:34.759081
17.851,17.9,17.9,2021-03-04 18:12:22.195606
17.308,17.8,18.0,2021-03-04 18:36:45.414126
14.985,17.7,NO MODE,2021-03-04 18:42:19.285692
