Rotation,Type,Date_Time
+,START,2021-02-25 12:11:45.439383
0.565,Run,2021-02-25 12:12:11.215007
-,END,2021-02-25 12:12:26.573611
+,START,2021-02-25 12:13:18.607408
0.6292,Food,2021-02-25 12:14:03.407620
0.575,Run,2021-02-25 12:14:22.156628
0.7883,Run,2021-02-25 12:14:58.403730
-,END,2021-02-25 12:15:19.774245
+,START,2021-02-25 12:15:43.959496
1.5667,Run,2021-02-25 12:17:50.251277
0.725,Run,2021-02-25 12:19:21.996257
0.6217,Run,2021-02-25 12:20:35.495071
0.5567,Run,2021-02-25 12:21:44.214900
-,END,2021-02-25 12:22:08.955376
+,START,2021-02-25 12:22:31.132546
0.56,Run,2021-02-25 12:51:16.270738
0.7308,Run,2021-02-25 12:51:24.061638
+,START,2021-02-25 12:56:33.022063
2.295,Run,2021-02-25 12:58:22.084904
0.5275,Food,2021-02-25 12:58:52.927161
-,END,2021-02-25 13:00:44.203225
+,START,2021-02-25 13:01:04.555653
0.4292,Food,2021-02-25 13:01:42.206883
3.2692,Run,2021-02-25 13:05:40.720634
1.9275,Run,2021-02-25 13:07:49.033010
2.6067,Run,2021-02-25 13:09:27.980249
-,END,2021-02-25 13:09:51.337961
+,START,2021-02-25 13:10:03.562137
0.4875,Food,2021-02-25 13:10:40.878715
10.1958,Run,2021-02-25 13:12:35.858124
0.4417,Food,2021-02-25 13:12:56.581793
21.28,Run,2021-02-25 13:14:41.294348
2.9275,Run,2021-02-25 13:19:01.011424
-,END,2021-02-25 13:19:39.412650
+,START,2021-02-25 13:20:20.196766
0.4042,Run,2021-02-25 13:20:48.900502
-,END,2021-02-25 13:21:59.725757
+,START,2021-02-25 13:22:06.515287
6.8808,Run,2021-02-25 13:24:32.996937
19.2383,Run,2021-02-25 13:28:14.056246
0.8383,Run,2021-02-25 13:30:04.410027
0.3933,Run,2021-02-25 13:30:43.570005
1.8333,Run,2021-02-25 13:31:34.733755
-,END,2021-02-25 13:32:40.814151
+,START,2021-02-25 13:33:02.779594
4.3692,Run,2021-02-25 13:35:55.643727
18.3033,Run,2021-02-25 13:37:45.379543
-,END,2021-02-25 13:39:06.810566
+,START,2021-02-25 13:39:28.073878
-,END,2021-02-25 13:41:52.480168
+,START,2021-02-25 13:42:30.333783
0.4458,Run,2021-02-25 13:43:29.128767
-,END,2021-02-25 13:45:11.710133
+,START,2021-02-25 13:45:35.300390
22.6842,Run,2021-02-25 13:48:26.613115
-,END,2021-02-25 13:49:07.341519
+,START,2021-02-25 13:49:15.435005
9.6383,Run,2021-02-25 13:59:02.347470
-,END,2021-02-25 14:02:12.217900
+,START,2021-02-25 14:02:18.999931
0.5375,Run,2021-02-25 14:04:11.687147
11.9558,Run,2021-02-25 14:07:04.750041
-,END,2021-02-25 14:07:26.607637
+,START,2021-02-25 14:07:43.551208
10.6158,Run,2021-02-25 14:09:52.465154
0.6017,Run,2021-02-25 14:13:46.021907
1.5642,Run,2021-02-25 14:17:03.407330
15.525,Run,2021-02-25 14:24:13.889915
-,END,2021-02-25 14:24:56.290343
+,START,2021-02-25 14:25:04.604254
0.5392,Run,2021-02-25 14:26:19.579997
-,END,2021-02-25 14:29:24.143369
+,START,2021-02-25 14:29:30.721841
15.9708,Run,2021-02-25 14:33:13.463847
21.3592,Run,2021-02-25 14:42:40.089566
-,END,2021-02-25 14:43:48.620512
+,START,2021-02-25 14:43:52.185147
0.43,Run,2021-02-25 14:44:29.432945
-,END,2021-02-25 14:46:06.800189
+,START,2021-02-25 14:46:14.179599
11.0908,Run,2021-02-25 14:51:38.351329
13.5583,Run,2021-02-25 14:54:04.425762
13.3608,Run,2021-02-25 14:55:33.877739
10.6008,Run,2021-02-25 14:56:30.769013
0.4383,Run,2021-02-25 14:57:20.149570
-,END,2021-02-25 14:58:40.803399
+,START,2021-02-25 14:58:44.775109
37.2867,Run,2021-02-25 15:01:29.111314
30.9708,Run,2021-02-25 15:03:44.575441
0.4658,Run,2021-02-25 15:04:11.145398
0.3425,Run,2021-02-25 15:04:24.810614
1.2792,Run,2021-02-25 15:10:10.067989
0.5658,Run,2021-02-25 15:14:19.488456
-,END,2021-02-25 15:15:24.763072
+,START,2021-02-25 15:15:34.661604
11.0283,Run,2021-02-25 15:19:32.018455
1.0925,Run,2021-02-25 15:21:34.216092
16.1517,Run,2021-02-25 15:24:40.149920
1.7992,Run,2021-02-25 15:27:36.146140
23.5575,Run,2021-02-25 15:31:46.456856
21.7975,Run,2021-02-25 15:36:41.611837
0.4442,Run,2021-02-25 15:38:32.553845
0.7092,Run,2021-02-25 15:41:59.452222
21.2733,Run,2021-02-25 15:43:35.507009
0.8317,Run,2021-02-25 15:49:46.771367
0.4492,Run,2021-02-25 15:50:07.060304
0.5175,Run,2021-02-25 15:56:50.056637
0.5108,Run,2021-02-25 15:58:16.753361
0.6458,Run,2021-02-25 16:01:20.002812
0.4825,Run,2021-02-25 16:01:37.502938
-,END,2021-02-25 16:01:58.643305
+,START,2021-02-25 16:02:37.906102
-,END,2021-02-25 16:03:02.575231
+,START,2021-02-25 16:03:08.361601
-,END,2021-02-25 16:03:34.963828
+,START,2021-02-25 16:03:35.613129
0.4392,Run,2021-02-25 16:04:15.471115
0.4958,Run,2021-02-25 16:04:22.469212
0.5225,Run,2021-02-25 16:04:30.135828
0.7825,Run,2021-02-25 16:04:42.112892
0.5108,Run,2021-02-25 16:05:06.699736
-,END,2021-02-25 16:05:18.152766
+,START,2021-02-25 16:05:18.702473
-,END,2021-02-25 16:05:47.306091
+,START,2021-02-25 16:05:47.756406
