Rotation,Type,Date_Time
+,START,2021-02-23 18:56:45.072010
-,END,2021-02-23 19:02:23.802436
+,START,2021-02-23 19:02:54.021189
0.7475,Run,2021-02-23 19:04:17.204385
-,END,2021-02-23 19:04:33.490777
+,START,2021-02-23 19:05:32.280824
-,END,2021-02-23 19:06:27.592573
+,START,2021-02-23 19:07:06.870968
1.0808,Run,2021-02-23 19:09:20.474215
-,END,2021-02-23 19:09:39.763780
+,START,2021-02-23 19:09:44.136157
-,END,2021-02-23 19:10:46.267664
+,START,2021-02-23 19:11:16.577456
0.4183,Run,2021-02-23 19:12:31.566867
0.5392,Run,2021-02-23 19:13:16.894185
5.0833,Run,2021-02-23 19:16:50.002587
1.0642,Run,2021-02-23 19:20:18.257481
7.615,Run,2021-02-23 19:22:48.964230
2.3467,Run,2021-02-23 19:25:51.543106
7.995,Run,2021-02-23 19:29:42.168968
-,END,2021-02-23 19:30:01.410105
+,START,2021-02-23 19:30:19.280382
3.6008,Run,2021-02-23 19:32:07.280235
-,END,2021-02-23 19:32:28.155703
+,START,2021-02-23 19:33:35.782265
0.7592,Run,2021-02-23 19:38:43.722136
2.1883,Run,2021-02-23 19:40:52.655067
-,END,2021-02-23 19:41:19.876022
+,START,2021-02-23 19:42:39.364451
4.0617,Run,2021-02-23 19:44:08.572310
-,END,2021-02-23 19:45:03.460530
+,START,2021-02-23 19:45:43.433227
1.4967,Run,2021-02-23 19:46:59.331238
-,END,2021-02-23 19:47:31.677214
+,START,2021-02-23 19:48:02.906080
7.8192,Run,2021-02-23 19:49:15.312884
-,END,2021-02-23 19:49:55.186921
+,START,2021-02-23 19:50:54.261557
0.4783,Run,2021-02-23 19:58:57.081245
-,END,2021-02-23 20:00:18.167525
+,START,2021-02-23 20:00:22.536286
-,END,2021-02-23 20:01:16.032606
+,START,2021-02-23 20:01:19.296958
0.915,Run,2021-02-23 20:03:39.249604
-,END,2021-02-23 20:03:50.651323
+,START,2021-02-23 20:03:56.427204
-,END,2021-02-23 20:05:36.756301
+,START,2021-02-23 20:23:30.212195
0.0,Run,2021-02-23 20:23:42.570491
-,END,2021-02-23 20:23:53.361259
+,START,2021-02-23 20:23:53.617931
+,START,2021-02-24 17:28:41.926065
0.7542,Run,2021-02-24 17:30:03.240513
-,END,2021-02-24 17:30:25.921592
+,START,2021-02-24 17:30:35.532878
1.93,Run,2021-02-24 17:32:49.084749
-,END,2021-02-24 17:33:08.370515
+,START,2021-02-24 17:33:58.482426
+,START,2021-02-24 17:37:30.313190
2.8817,Run,2021-02-24 17:40:02.894746
3.7717,Run,2021-02-24 17:41:53.975245
4.1292,Run,2021-02-24 17:43:26.795419
0.7425,Run,2021-02-24 17:46:36.652986
12.0875,Run,2021-02-24 17:54:45.601842
2.21,Run,2021-02-24 18:01:48.286833
6.8642,Run,2021-02-24 18:03:23.504180
13.1575,Run,2021-02-24 18:05:53.836149
12.085,Run,2021-02-24 18:07:39.443096
2.0458,Run,2021-02-24 18:08:08.718212
0.3642,Run,2021-02-24 18:08:57.273706
-,END,2021-02-24 18:09:27.774115
+,START,2021-02-24 18:13:10.773938
17.0425,Run,2021-02-24 18:16:12.460231
0.4533,Food,2021-02-24 18:17:47.123279
2.0542,Run,2021-02-24 18:19:08.787720
14.41,Run,2021-02-24 18:21:07.475662
-,END,2021-02-24 18:21:32.856167
+,START,2021-02-24 18:22:28.099805
0.4517,Run,2021-02-24 18:23:36.385412
