Weight_Mean,Weight_Median,Weight_Mode,Date_Time
17.285,18.95,NO MODE,2021-02-23 18:56:55.703613
19.31,19.45,NO MODE,2021-02-23 19:03:04.633920
0.0,-0.0,-0.0,2021-02-23 19:05:42.980677
18.735,19.1,18.9,2021-02-23 19:07:17.375715
18.955000000000002,19.25,NO MODE,2021-02-23 19:09:55.258772
12.105,14.7,-0.0,2021-02-23 19:11:27.162532
18.625,18.799999999999997,19.4,2021-02-23 19:30:30.056326
19.005,19.3,19.5,2021-02-23 19:33:46.366926
16.27,18.5,NO MODE,2021-02-23 19:42:50.012812
18.71,19.05,19.3,2021-02-23 19:45:53.943666
5.235,-0.0,-0.0,2021-02-23 19:48:13.465454
18.22,18.6,18.9,2021-02-23 19:51:04.920353
0.0,-0.0,-0.0,2021-02-23 20:00:32.971210
18.335,18.7,NO MODE,2021-02-23 20:01:29.807237
18.095,17.799999999999997,17.3,2021-02-23 20:04:06.831154
0.3,0.3,0.3,2021-02-23 20:23:40.973189
20.046,20.3,20.5,2021-02-24 17:28:53.731890
19.384,19.5,19.3,2021-02-24 17:30:47.431442
0.0,-0.0,-0.0,2021-02-24 17:34:10.286198
18.451,19.9,20.4,2021-02-24 17:37:42.050202
0.013000000000000001,-0.0,-0.0,2021-02-24 18:13:22.507691
17.581,17.95,19.5,2021-02-24 18:22:39.880036
