Weight_Mean,Weight_Median,Weight_Mode,Date_Time
18.098,19.3,19.7,2021-03-01 10:58:50.240542
18.652,19.2,19.9,2021-03-01 11:00:10.928872
18.329,18.85,NO MODE,2021-03-01 11:03:04.883795
19.636,19.8,20.0,2021-03-01 11:04:32.584103
18.78,19.7,19.9,2021-03-01 11:06:40.599026
19.922,19.95,20.1,2021-03-01 11:09:44.827300
18.975,19.8,20.0,2021-03-01 11:12:42.358741
11.006,14.7,0.0,2021-03-01 11:15:25.586015
2.679,0.0,0.0,2021-03-01 11:18:50.233379
3.07,0.0,0.0,2021-03-01 11:20:33.716170
20.021,20.05,NO MODE,2021-03-01 11:23:01.161529
14.558,17.8,19.1,2021-03-01 11:24:45.410231
12.615,13.75,13.3,2021-03-01 11:26:58.087910
19.399,19.9,19.9,2021-03-01 11:29:07.551847
12.621,18.2,NO MODE,2021-03-01 11:30:26.572171
3.286,0.0,0.0,2021-03-01 11:31:27.558704
9.773,8.1,0.1,2021-03-01 11:32:54.431835
12.255,19.05,19.9,2021-03-01 11:35:44.781600
1.158,0.0,0.0,2021-03-01 11:36:48.903033
2.526,0.0,0.0,2021-03-01 11:39:20.781440
11.438,13.05,0.1,2021-03-01 11:40:57.598920
19.029,19.65,20.2,2021-03-01 11:42:06.749599
1.484,0.0,0.0,2021-03-01 11:43:22.254205
19.624,19.7,19.7,2021-03-01 11:45:32.191348
1.533,0.55,0.0,2021-03-01 11:49:56.660696
5.862,0.9,0.0,2021-03-01 11:53:30.295162
14.301,18.35,0.0,2021-03-01 11:54:48.302975
19.325,19.7,19.7,2021-03-01 16:09:50.500923
19.31,19.7,19.9,2021-03-01 16:11:29.983293
19.46,19.8,19.8,2021-03-01 16:12:37.511191
19.134,19.4,20.0,2021-03-01 16:14:48.542034
18.705,19.45,19.5,2021-03-01 16:17:03.691710
18.363,19.2,19.7,2021-03-01 16:19:18.334970
18.643,19.6,19.9,2021-03-01 16:20:30.380105
19.942,19.8,19.8,2021-03-01 16:23:00.207269
19.216,19.7,19.8,2021-03-01 16:32:38.356875
18.957,19.7,19.7,2021-03-01 16:34:42.342569
4.484,0.0,0.0,2021-03-01 16:36:19.757173
1.717,0.0,0.0,2021-03-01 16:38:35.276697
16.45,19.6,NO MODE,2021-03-01 16:40:30.153410
14.235,19.5,0.0,2021-03-01 16:41:44.134634
8.95,2.3,0.0,2021-03-01 16:43:35.624688
0.85,0.0,0.0,2021-03-01 16:45:39.720714
19.467,19.8,19.9,2021-03-01 16:50:43.029276
19.455,19.7,19.7,2021-03-01 17:00:40.043954
7.467,0.0,0.0,2021-03-01 17:03:09.387028
8.097,1.5,0.0,2021-03-01 17:07:35.623654
18.992,19.5,19.7,2021-03-01 18:02:43.766520
8.693,2.85,0.0,2021-03-01 18:04:50.837086
5.2780000000000005,0.0,0.0,2021-03-01 18:11:10.506759
16.749,19.2,NO MODE,2021-03-01 18:12:14.438405
7.372,0.0,0.0,2021-03-01 18:17:56.240232
10.506,15.7,0.0,2021-03-01 18:22:41.744972
15.618,19.5,19.7,2021-03-01 18:48:02.101539
0.819,0.0,0.0,2021-03-01 18:49:30.366027
17.209,18.7,NO MODE,2021-03-01 18:54:40.364401
5.524,0.0,0.0,2021-03-01 18:59:29.683361
0.001,0.0,0.0,2021-03-01 19:00:57.262001
0.001,0.0,0.0,2021-03-01 19:02:08.914155
3.155,0.0,0.0,2021-03-01 19:04:14.519120
0.007,0.0,0.0,2021-03-01 19:06:32.000594
19.904,20.35,NO MODE,2021-03-02 10:09:03.661390
20.23,20.4,NO MODE,2021-03-02 10:10:04.970086
15.326,19.65,20.7,2021-03-02 10:15:17.139689
19.691,20.25,NO MODE,2021-03-02 10:17:29.955823
19.425,20.4,20.4,2021-03-02 10:20:40.673614
11.242,14.4,0.0,2021-03-02 10:22:03.974207
12.906,19.35,0.0,2021-03-02 10:26:01.917057
3.0220000000000002,0.0,0.0,2021-03-02 10:27:25.181791
3.624,0.0,0.0,2021-03-02 10:28:34.919889
17.783,20.0,NO MODE,2021-03-02 10:29:53.559721
0.045,0.0,0.0,2021-03-02 10:31:23.670412
0.173,0.0,0.0,2021-03-02 10:33:14.486421
12.763,17.049999999999997,0.0,2021-03-02 10:34:28.751942
4.952,0.0,0.0,2021-03-02 10:35:54.762085
19.835,20.4,20.5,2021-03-02 10:37:20.288075
4.57,0.0,0.0,2021-03-02 10:41:14.561313
10.586,14.3,0.0,2021-03-02 10:42:19.391107
9.013,0.8500000000000001,0.0,2021-03-02 10:43:18.724453
0.756,0.0,0.0,2021-03-02 10:46:09.712180
0.081,0.0,0.0,2021-03-02 10:47:29.476167
0.71,0.0,0.0,2021-03-02 10:50:14.586043
15.712,19.65,0.0,2021-03-02 10:53:03.382492
2.213,0.0,0.0,2021-03-02 10:55:36.773914
0.0,0.0,0.0,2021-03-02 11:31:34.916591
10.847,14.7,0.0,2021-03-02 11:32:26.268733
17.786,18.95,20.4,2021-03-02 11:35:29.117347
6.325,0.0,0.0,2021-03-02 11:38:09.868332
7.752,0.0,0.0,2021-03-02 11:41:00.844202
0.007,0.0,0.0,2021-03-02 11:44:19.807032
0.095,0.0,0.0,2021-03-02 11:51:18.441407
