Rotation,Type,Date_Time
+,Session start,2021-02-26 17:44:33.549787
*,BB2,2021-02-26 17:44:51.043776
*,BB5,2021-02-26 17:45:01.945421
0.5667,Run,2021-02-26 17:45:21.975186
*,BB2,2021-02-26 17:46:16.782468
*,BB5,2021-02-26 17:46:44.924688
1.6942,Run,2021-02-26 17:47:04.956950
*,BB2,2021-02-26 17:48:25.324692
*,BB5,2021-02-26 17:48:47.099950
0.5758,Run,2021-02-26 17:49:07.130501
*,BB5,2021-02-26 17:49:35.920632
-,END,2021-02-26 17:49:50.963308
+,Session start,2021-02-26 17:50:37.673572
*,BB2,2021-02-26 17:50:54.631713
*,BB5,2021-02-26 17:51:15.452677
0.5433,Run,2021-02-26 17:51:35.477429
*,BB2,2021-02-26 17:53:35.984146
*,BB5,2021-02-26 17:54:39.654397
0.5467,Run,2021-02-26 17:54:59.676855
*,BB2,2021-02-26 17:55:11.760271
*,BB5,2021-02-26 17:55:13.469709
15.0367,Run,2021-02-26 17:55:33.491751
*,BB2,2021-02-26 17:56:00.716415
*,BB5,2021-02-26 17:56:16.700093
0.5583,Run,2021-02-26 17:56:36.722403
*,BB2,2021-02-26 17:59:11.188568
*,BB5,2021-02-26 17:59:34.640017
-,END,2021-02-26 17:59:49.673145
+,Session start,2021-02-26 17:59:54.017200
*,BB2,2021-02-26 18:00:10.973414
*,BB5,2021-02-26 18:00:24.127449
0.4908,Run,2021-02-26 18:00:44.149680
*,BB2,2021-02-26 18:01:02.698783
*,BB5,2021-02-26 18:01:19.201427
0.41,Run,2021-02-26 18:01:39.234985
*,BB2,2021-02-26 18:02:50.197574
*,BB4,2021-02-26 18:03:36.516840
0.4567,Food,2021-02-26 18:03:56.538860
*,BB2,2021-02-26 18:04:10.035293
*,BB5,2021-02-26 18:04:15.148410
0.4717,Run,2021-02-26 18:04:35.170113
*,BB2,2021-02-26 18:04:50.477827
*,BB5,2021-02-26 18:04:52.966980
1.045,Run,2021-02-26 18:05:12.993206
*,BB2,2021-02-26 18:05:57.894294
*,BB5,2021-02-26 18:06:10.182596
-,END,2021-02-26 18:06:25.208486
+,Session start,2021-02-26 18:07:11.132097
*,BB2,2021-02-26 18:07:38.688210
*,BB4,2021-02-26 18:07:49.826724
0.5167,Food,2021-02-26 18:08:09.849841
*,BB2,2021-02-26 18:08:26.157291
*,BB5,2021-02-26 18:08:27.948232
10.6792,Run,2021-02-26 18:08:47.977540
*,BB2,2021-02-26 18:09:11.232067
*,BB4,2021-02-26 18:09:17.548309
0.4817,Food,2021-02-26 18:09:37.570872
*,BB2,2021-02-26 18:12:47.213284
*,BB5,2021-02-26 18:12:49.105400
0.3983,Run,2021-02-26 18:13:09.128798
*,BB2,2021-02-26 18:16:00.580668
*,BB5,2021-02-26 18:16:21.527029
0.5008,Run,2021-02-26 18:16:41.549831
*,BB2,2021-02-26 18:17:39.321257
*,BB5,2021-02-26 18:17:41.991371
0.3933,Run,2021-02-26 18:18:02.022908
*,BB2,2021-02-26 18:19:37.574864
*,BB5,2021-02-26 18:19:47.415457
0.4683,Run,2021-02-26 18:20:07.441820
*,BB2,2021-02-26 18:22:43.630759
*,BB5,2021-02-26 18:22:46.247072
0.5417,Run,2021-02-26 18:23:06.269619
*,BB2,2021-02-26 18:24:25.908067
*,BB5,2021-02-26 18:24:30.298303
0.5242,Run,2021-02-26 18:24:50.325674
*,BB2,2021-02-26 18:27:57.477297
*,BB5,2021-02-26 18:28:50.528747
0.5058,Run,2021-02-26 18:29:10.551471
*,BB2,2021-02-26 18:29:22.209471
*,BB5,2021-02-26 18:30:00.055472
0.45,Run,2021-02-26 18:30:20.084891
*,BB2,2021-02-26 18:30:38.403796
*,BB5,2021-02-26 18:30:42.120399
0.6392,Run,2021-02-26 18:31:02.145981
*,BB5,2021-02-26 18:31:51.644996
-,END,2021-02-26 18:32:06.675214
+,Session start,2021-02-26 18:33:30.691947
*,BB2,2021-02-26 18:33:48.253054
*,BB5,2021-02-26 18:33:51.563169
5.3267,Run,2021-02-26 18:34:11.592384
*,BB2,2021-02-26 18:36:12.228524
*,BB5,2021-02-26 18:36:13.523312
+,Session start,2021-03-01 13:29:17.265379
*,BB2,2021-03-01 13:29:33.152587
*,BB5,2021-03-01 13:29:48.325621
*,BB2,2021-03-01 13:30:45.873496
0.615,Run,2021-03-01 13:30:45.900295
*,BB5,2021-03-01 13:49:18.966448
-,END,2021-03-01 13:49:34.005593
+,Session start,2021-03-01 13:49:36.265345
*,BB2,2021-03-01 13:49:55.388362
+,Session start,2021-03-01 14:05:13.794660
*,BB2,2021-03-01 14:05:32.499266
*,BB5,2021-03-01 14:05:37.153285
*,BB2,2021-03-01 14:08:38.427890
1.1925,Run,2021-03-01 14:08:38.452239
*,BB5,2021-03-01 14:08:51.137462
-,END,2021-03-01 14:09:06.173415
+,Session start,2021-03-01 14:09:23.035974
*,BB2,2021-03-01 14:09:39.207612
*,BB5,2021-03-01 14:09:40.946374
*,BB2,2021-03-01 14:10:07.463262
0.4817,Run,2021-03-01 14:10:07.498488
*,BB5,2021-03-01 14:11:15.560627
-,END,2021-03-01 14:11:30.593795
+,Session start,2021-03-01 14:12:23.343323
*,BB2,2021-03-01 14:12:41.915925
*,BB5,2021-03-01 14:12:52.399148
*,BB2,2021-03-01 14:15:52.403429
0.785,Run,2021-03-01 14:15:52.430248
*,BB5,2021-03-01 14:16:08.242741
-,END,2021-03-01 14:16:23.267521
+,Session start,2021-03-01 14:16:43.638996
*,BB2,2021-03-01 14:16:59.463467
*,BB5,2021-03-01 14:17:03.678885
*,BB2,2021-03-01 14:18:19.585302
0.6808,Run,2021-03-01 14:18:19.614978
*,BB5,2021-03-01 14:18:50.577493
*,BB2,2021-03-01 14:22:02.153905
1.2783,Run,2021-03-01 14:22:02.185626
*,BB5,2021-03-01 14:22:37.284489
*,BB2,2021-03-01 14:24:37.120170
1.2842,Run,2021-03-01 14:24:37.143073
*,BB5,2021-03-01 14:24:47.200972
-,END,2021-03-01 14:25:02.241756
+,Session start,2021-03-01 14:25:07.407054
*,BB2,2021-03-01 14:25:24.733839
*,BB4,2021-03-01 14:25:35.728292
*,BB2,2021-03-01 14:26:08.444964
0.475,Food,2021-03-01 14:26:08.471534
*,BB5,2021-03-01 14:26:10.979705
*,BB2,2021-03-01 14:26:34.711467
0.5217,Run,2021-03-01 14:26:34.742466
*,BB5,2021-03-01 14:26:43.721122
*,BB2,2021-03-01 14:27:40.716310
2.0325,Run,2021-03-01 14:27:40.739196
*,BB4,2021-03-01 14:27:53.343558
*,BB2,2021-03-01 14:30:50.596211
0.5308,Food,2021-03-01 14:30:50.623720
*,BB5,2021-03-01 14:30:53.132007
*,BB2,2021-03-01 14:34:07.811806
2.1583,Run,2021-03-01 14:34:07.833436
*,BB5,2021-03-01 14:34:15.735481
*,BB2,2021-03-01 14:34:59.599806
0.42,Run,2021-03-01 14:34:59.621108
*,BB5,2021-03-01 14:35:28.320932
-,END,2021-03-01 14:35:43.352403
+,Session start,2021-03-01 14:35:45.629523
*,BB2,2021-03-01 14:36:03.523048
*,BB5,2021-03-01 14:36:04.551556
*,BB2,2021-03-01 14:46:13.367690
0.8,Run,2021-03-01 14:46:13.390486
*,BB5,2021-03-01 14:47:21.037775
*,BB2,2021-03-01 14:50:58.875322
0.9783,Run,2021-03-01 14:50:58.902613
*,BB5,2021-03-01 14:52:10.212950
-,END,2021-03-01 14:52:25.239565
+,Session start,2021-03-01 14:55:53.562108
*,BB2,2021-03-01 14:56:10.088280
*,BB5,2021-03-01 14:56:17.317237
*,BB2,2021-03-01 14:57:03.034213
2.4992,Run,2021-03-01 14:57:03.066289
*,BB4,2021-03-01 14:57:15.989998
*,BB2,2021-03-01 14:58:27.295955
0.4792,Food,2021-03-01 14:58:27.321485
*,BB5,2021-03-01 14:58:30.400381
*,BB2,2021-03-01 15:02:07.462847
0.5433,Run,2021-03-01 15:02:07.485097
*,BB5,2021-03-01 15:03:07.296031
*,BB2,2021-03-01 15:03:38.578940
1.6358,Run,2021-03-01 15:03:38.610908
*,BB5,2021-03-01 15:03:47.915216
-,END,2021-03-01 15:04:02.955723
+,Session start,2021-03-01 15:05:27.677996
*,BB2,2021-03-01 15:05:43.976878
*,BB4,2021-03-01 15:05:49.982270
*,BB2,2021-03-01 15:09:56.765231
0.5392,Food,2021-03-01 15:09:56.793092
*,BB5,2021-03-01 15:10:14.184559
*,BB2,2021-03-01 15:10:32.795567
0.4667,Run,2021-03-01 15:10:32.822735
