Rotation amount,Type,Time,Date
+,START,13:01:26.277560,2021-02-16
+,START,13:01:26.277560,2021-02-16
0.8308333333333333,Food,13:02:40.495184,2021-02-16
+,START,13:01:26.277560,2021-02-16
0.8308333333333333,Food,13:02:40.495184,2021-02-16
7.804166666666666,Run,13:03:08.686593,2021-02-16
+,START,13:01:26.277560,2021-02-16
0.8308333333333333,Food,13:02:40.495184,2021-02-16
7.804166666666666,Run,13:03:08.686593,2021-02-16
-,END,13:03:31.307469,2021-02-16
+,START,13:01:26.277560,2021-02-16
0.8308333333333333,Food,13:02:40.495184,2021-02-16
7.804166666666666,Run,13:03:08.686593,2021-02-16
-,END,13:03:31.307469,2021-02-16
+,START,13:03:35.700519,2021-02-16
+,START,13:04:04.307531,2021-02-16
+,START,13:04:04.307531,2021-02-16
1.3816666666666666,Run,13:04:51.010829,2021-02-16
+,START,13:04:04.307531,2021-02-16
1.3816666666666666,Run,13:04:51.010829,2021-02-16
0.7566666666666667,Food,13:05:05.735327,2021-02-16
+,START,13:04:04.307531,2021-02-16
1.3816666666666666,Run,13:04:51.010829,2021-02-16
0.7566666666666667,Food,13:05:05.735327,2021-02-16
-,END,13:05:29.026630,2021-02-16
