Rotation amount,Type,Time,Date
+,START,13:04:04.307531,2021-02-16
1.3816666666666666,Run,13:04:51.010829,2021-02-16
0.7566666666666667,Food,13:05:05.735327,2021-02-16
-,END,13:05:29.026630,2021-02-16
+,START,20:09:34.390442,2021-02-16
+,START,20:10:55.199576,2021-02-16
+,START,20:10:55.199576,2021-02-16
0.82,Run,20:14:28.582719,2021-02-16
+,START,20:10:55.199576,2021-02-16
0.82,Run,20:14:28.582719,2021-02-16
-,END,20:17:17.944654,2021-02-16
+,START,20:10:55.199576,2021-02-16
0.82,Run,20:14:28.582719,2021-02-16
-,END,20:17:17.944654,2021-02-16
+,START,20:17:27.601801,2021-02-16
+,START,20:10:55.199576,2021-02-16
0.82,Run,20:14:28.582719,2021-02-16
-,END,20:17:17.944654,2021-02-16
+,START,20:17:27.601801,2021-02-16
1.2175,Run,20:18:03.100958,2021-02-16
+,START,20:10:55.199576,2021-02-16
0.82,Run,20:14:28.582719,2021-02-16
-,END,20:17:17.944654,2021-02-16
+,START,20:17:27.601801,2021-02-16
1.2175,Run,20:18:03.100958,2021-02-16
1.2741666666666667,Run,20:19:59.136106,2021-02-16
+,START,20:10:55.199576,2021-02-16
0.82,Run,20:14:28.582719,2021-02-16
-,END,20:17:17.944654,2021-02-16
+,START,20:17:27.601801,2021-02-16
1.2175,Run,20:18:03.100958,2021-02-16
1.2741666666666667,Run,20:19:59.136106,2021-02-16
0.6525,Food,20:20:50.362158,2021-02-16
+,START,20:10:55.199576,2021-02-16
0.82,Run,20:14:28.582719,2021-02-16
-,END,20:17:17.944654,2021-02-16
+,START,20:17:27.601801,2021-02-16
1.2175,Run,20:18:03.100958,2021-02-16
1.2741666666666667,Run,20:19:59.136106,2021-02-16
0.6525,Food,20:20:50.362158,2021-02-16
-,END,20:21:18.677488,2021-02-16
+,START,20:10:55.199576,2021-02-16
0.82,Run,20:14:28.582719,2021-02-16
-,END,20:17:17.944654,2021-02-16
+,START,20:17:27.601801,2021-02-16
1.2175,Run,20:18:03.100958,2021-02-16
1.2741666666666667,Run,20:19:59.136106,2021-02-16
0.6525,Food,20:20:50.362158,2021-02-16
-,END,20:21:18.677488,2021-02-16
+,START,20:21:20.640583,2021-02-16
+,START,20:10:55.199576,2021-02-16
0.82,Run,20:14:28.582719,2021-02-16
-,END,20:17:17.944654,2021-02-16
+,START,20:17:27.601801,2021-02-16
1.2175,Run,20:18:03.100958,2021-02-16
1.2741666666666667,Run,20:19:59.136106,2021-02-16
0.6525,Food,20:20:50.362158,2021-02-16
-,END,20:21:18.677488,2021-02-16
+,START,20:21:20.640583,2021-02-16
0.69,Food,20:22:40.437651,2021-02-16
+,START,20:10:55.199576,2021-02-16
0.82,Run,20:14:28.582719,2021-02-16
-,END,20:17:17.944654,2021-02-16
+,START,20:17:27.601801,2021-02-16
1.2175,Run,20:18:03.100958,2021-02-16
1.2741666666666667,Run,20:19:59.136106,2021-02-16
0.6525,Food,20:20:50.362158,2021-02-16
-,END,20:21:18.677488,2021-02-16
+,START,20:21:20.640583,2021-02-16
0.69,Food,20:22:40.437651,2021-02-16
-,END,20:23:04.461222,2021-02-16
+,START,20:10:55.199576,2021-02-16
0.82,Run,20:14:28.582719,2021-02-16
-,END,20:17:17.944654,2021-02-16
+,START,20:17:27.601801,2021-02-16
1.2175,Run,20:18:03.100958,2021-02-16
1.2741666666666667,Run,20:19:59.136106,2021-02-16
0.6525,Food,20:20:50.362158,2021-02-16
-,END,20:21:18.677488,2021-02-16
+,START,20:21:20.640583,2021-02-16
0.69,Food,20:22:40.437651,2021-02-16
-,END,20:23:04.461222,2021-02-16
+,START,20:23:58.488021,2021-02-16
+,START,20:10:55.199576,2021-02-16
0.82,Run,20:14:28.582719,2021-02-16
-,END,20:17:17.944654,2021-02-16
+,START,20:17:27.601801,2021-02-16
1.2175,Run,20:18:03.100958,2021-02-16
1.2741666666666667,Run,20:19:59.136106,2021-02-16
0.6525,Food,20:20:50.362158,2021-02-16
-,END,20:21:18.677488,2021-02-16
+,START,20:21:20.640583,2021-02-16
0.69,Food,20:22:40.437651,2021-02-16
-,END,20:23:04.461222,2021-02-16
+,START,20:23:58.488021,2021-02-16
-,END,20:24:56.224606,2021-02-16
+,START,20:10:55.199576,2021-02-16
0.82,Run,20:14:28.582719,2021-02-16
-,END,20:17:17.944654,2021-02-16
+,START,20:17:27.601801,2021-02-16
1.2175,Run,20:18:03.100958,2021-02-16
1.2741666666666667,Run,20:19:59.136106,2021-02-16
0.6525,Food,20:20:50.362158,2021-02-16
-,END,20:21:18.677488,2021-02-16
+,START,20:21:20.640583,2021-02-16
0.69,Food,20:22:40.437651,2021-02-16
-,END,20:23:04.461222,2021-02-16
+,START,20:23:58.488021,2021-02-16
-,END,20:24:56.224606,2021-02-16
+,START,20:25:05.554731,2021-02-16
+,START,20:10:55.199576,2021-02-16
0.82,Run,20:14:28.582719,2021-02-16
-,END,20:17:17.944654,2021-02-16
+,START,20:17:27.601801,2021-02-16
1.2175,Run,20:18:03.100958,2021-02-16
1.2741666666666667,Run,20:19:59.136106,2021-02-16
0.6525,Food,20:20:50.362158,2021-02-16
-,END,20:21:18.677488,2021-02-16
+,START,20:21:20.640583,2021-02-16
0.69,Food,20:22:40.437651,2021-02-16
-,END,20:23:04.461222,2021-02-16
+,START,20:23:58.488021,2021-02-16
-,END,20:24:56.224606,2021-02-16
+,START,20:25:05.554731,2021-02-16
-,END,20:26:14.131325,2021-02-16
+,START,20:10:55.199576,2021-02-16
0.82,Run,20:14:28.582719,2021-02-16
-,END,20:17:17.944654,2021-02-16
+,START,20:17:27.601801,2021-02-16
1.2175,Run,20:18:03.100958,2021-02-16
1.2741666666666667,Run,20:19:59.136106,2021-02-16
0.6525,Food,20:20:50.362158,2021-02-16
-,END,20:21:18.677488,2021-02-16
+,START,20:21:20.640583,2021-02-16
0.69,Food,20:22:40.437651,2021-02-16
-,END,20:23:04.461222,2021-02-16
