Weight,Time,Date
24.4,20:13:48.341072,2021-02-16
24.4,20:13:48.341072,2021-02-16
24.15,20:17:37.731654,2021-02-16
24.4,20:13:48.341072,2021-02-16
24.15,20:17:37.731654,2021-02-16
7.18,20:21:54.130125,2021-02-16
24.4,20:13:48.341072,2021-02-16
24.15,20:17:37.731654,2021-02-16
7.18,20:21:54.130125,2021-02-16
23.51,20:24:15.052525,2021-02-16
24.4,20:13:48.341072,2021-02-16
24.15,20:17:37.731654,2021-02-16
7.18,20:21:54.130125,2021-02-16
23.51,20:24:15.052525,2021-02-16
23.55,20:25:18.618381,2021-02-16
24.4,20:13:48.341072,2021-02-16
24.15,20:17:37.731654,2021-02-16
7.18,20:21:54.130125,2021-02-16
23.51,20:24:15.052525,2021-02-16
23.55,20:25:18.618381,2021-02-16
19.73,20:26:30.188521,2021-02-16
22.77,20:10:06.246326,2021-02-17
22.77,20:10:06.246326,2021-02-17
22.91,20:14:08.596444,2021-02-17
22.21,20:24:09.383947,2021-02-17
