Rotation amount,Type,Time,Date
+,START OF SESSION,16:03:00.296559,2021-02-08
0.0,Running Wheel,16:03:13.371037,2021-02-08
8.703333333333333,Running Wheel,16:03:21.590246,2021-02-08
15.665,Running Wheel,16:03:29.905758,2021-02-08
0,Food pod,16:03:33.855480,2021-02-08
0.0,Running Wheel,16:03:41.913363,2021-02-08
-,END OF SESSION,16:03:54.674021,2021-02-08
0.5999999999999999,16:05:23.083675,2021-02-08
0.5949999999999999,16:09:11.104662,2021-02-08
+,START OF SESSION,16:11:57.649200,2021-02-08
0.0,Running Wheel,16:12:10.880106,2021-02-08
1.4575,Running Wheel,16:12:21.748650,2021-02-08
4.653333333333333,Running Wheel,16:12:29.495912,2021-02-08
0,Food pod,16:12:30.851929,2021-02-08
0.0,Running Wheel,16:12:36.938142,2021-02-08
-,END OF SESSION,16:12:49.895805,2021-02-08
+,START OF SESSION,16:14:52.214577,2021-02-08
0.0,Running Wheel,16:15:07.497180,2021-02-08
3.6233333333333335,Running Wheel,16:15:15.319429,2021-02-08
0,Food pod,16:15:22.744169,2021-02-08
0,Food pod,16:15:31.507609,2021-02-08
0.0,Running Wheel,16:15:40.624504,2021-02-08
-,END OF SESSION,16:15:59.289671,2021-02-08
+,START OF SESSION,16:17:36.487802,2021-02-08
0.0,Running Wheel,16:17:53.269289,2021-02-08
0,Food pod,16:18:07.391036,2021-02-08
0.0,Running Wheel,16:18:17.804670,2021-02-08
-,END OF SESSION,16:18:39.053011,2021-02-08
+,START OF SESSION,16:23:12.782806,2021-02-08
0.0,Running Wheel,16:23:43.146235,2021-02-08
0,Food pod,16:23:45.656645,2021-02-08
0.0,Running Wheel,16:24:00.596664,2021-02-08
-,END OF SESSION,16:24:14.133353,2021-02-08
+,START OF SESSION,16:25:46.938764,2021-02-08
0.0,Running Wheel,16:26:13.443242,2021-02-08
-,END OF SESSION,16:26:30.495869,2021-02-08
+,START OF SESSION,16:27:44.333722,2021-02-08
0.0,Running Wheel,16:28:01.929026,2021-02-08
0.0,Running Wheel,16:28:02.425205,2021-02-08
0.0,Running Wheel,16:28:02.967972,2021-02-08
0.0,Running Wheel,16:28:04.175976,2021-02-08
-,END OF SESSION,16:28:20.327484,2021-02-08
+,START OF SESSION,16:30:32.499171,2021-02-08
0.19083333333333333,Running Wheel,16:30:47.174054,2021-02-08
2.0183333333333335,Running Wheel,16:30:53.405088,2021-02-08
1.9125,Running Wheel,16:31:05.588021,2021-02-08
0,Food pod,16:31:08.900313,2021-02-08
1.4141666666666666,Running Wheel,16:31:18.591040,2021-02-08
-,END OF SESSION,16:31:33.559859,2021-02-08
+,START OF SESSION,02:21:05.033436,2021-02-09
3.8958333333333335,Running Wheel,02:21:43.233252,2021-02-09
0,Food pod,02:21:45.997613,2021-02-09
-,END OF SESSION,02:22:16.706517,2021-02-09
+,START OF SESSION,02:54:09.771058,2021-02-09
0.6916666666666667,Running Wheel,02:54:41.473894,2021-02-09
0,Food pod,02:54:52.662780,2021-02-09
0,Food pod,02:57:12.288564,2021-02-09
0.6708333333333333,Running Wheel,03:00:48.133870,2021-02-09
0,Food pod,03:00:56.916204,2021-02-09
3.135,Running Wheel,03:06:10.806378,2021-02-09
-,END OF SESSION,03:06:26.427857,2021-02-09
+,START OF SESSION,03:33:07.325709,2021-02-09
-,END OF SESSION,03:34:44.842077,2021-02-09
+,START OF SESSION,03:33:07.325709,2021-02-09
-,END OF SESSION,03:34:44.842077,2021-02-09
+,START OF SESSION,03:40:28.327548,2021-02-09
0,Food pod,03:40:55.200398,2021-02-09
-,END OF SESSION,03:41:24.277193,2021-02-09
